Spanish,English
idea,idea
eh,Hey
tarde,late
problema,trouble
cierto,true
dicho,saying
quien,who
demasiado,too
entre,between
ve,go
pasado,past
familia,family
estos,these
policía,police
debería,should
ustedes,you
chica,girl
esos,those
chicos,Boys
cuenta,account
haces,do
todavía,still
salir,go out
algún,some
vaya,go
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,I knew
cabeza,head
ah,ah
cariño,sweetie
digo,I say
van,go
hombres,mens
buenas,good
somos,we are
cualquier,any
forma,shape
mientras,While
lado,side
sería,would be
caso,case
pueden,may
pasó,He passed
primera,first
genial,brilliant
chico,boy
supuesto,supposed
hice,I did
pues,well
muchas,many
personas,persons
señora,Ms
volver,return
esas,those
quizá,maybe
contra,against
camino,path
durante,during
hablando,talking
manera,way
muerto,dead
persona,person
rápido,Quick
cuál,which
ayuda,help
historia,history
iba,I was going
supongo,I suppose
nueva,new
entiendo,I get it
dentro,inside
casi,almost
puerta,door
ves,you see
pasar,pass
primero,First
significa,it means
semana,week
hacia,toward
quizás,maybe
espero,I hope
juntos,together
año,year
niños,children
pronto,soon
tío,uncle
suerte,luck
ciudad,city
siquiera,at least
feliz,happy
venir,come
hija,daughter
gustaría,would like
minutos,minutes
cuánto,how much
os,you
hey,hey
muerte,death
dejar,leave
realidad,reality
deja,let
problemas,problems
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,fear
jefe,chief
agua,Water
haré,I will do
justo,fair
horas,hours
poder,power
buenos,good ones
esposa,wife
manos,hands
debes,you must
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,ahead
encontrar,find
mano,hand
cinco,five
niño,child
ninguna,none
otros,others
cara,expensive
cuidado,watch out
bajo,low
cerca,near
viejo,old
déjame,let me
noches,nights
bastante,quite
fin,end
tomar,drink
único,only
misma,same
escucha,listens
ningún,any
suficiente,enough
punto,point
cuándo,when
sigue,follow
haya,beech
equipo,equipment
grande,big
necesita,needs to
llegar,get
incluso,even
algunos,Some
doctor,doctor
difícil,difficult
hubiera,had
primer,first
coche,car
hago,I make
clase,class
cuatro,four
dices,say
pequeño,little
llama,call
toma,taking
hiciste,did
última,last
arriba,above
tierra,Earth
guerra,war
pensar,think
pueda,can
igual,same
loco,crazy
sangre,blood
mujeres,women
vuelta,return
fui,I was
trabajar,to work
tenido,had
juego,game
deberías,you should
cuerpo,Body
e,and
algunas,some
entrar,get in
cree,cree
podía,I could
debemos,we must
oportunidad,opportunity
teléfono,telephone
necesitamos,we need
final,final
listo,ready
fiesta,party
muchos,Many
estabas,you were
quieren,they want
vete,go away
auto,car
dar,give
vivir,to live
posible,possible
ok,okay
hermana,sister
número,number
exactamente,exactly
culpa,guilt
abajo,down
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
esté,East
ello,it
pregunta,question
chicas,girls
eran,they were
unas,nail
pasando,going
atrás,behind
malo,bad
capitán,captain
sra.,Ms.
bebé,baby
segundo,second
sabemos,we know
mayor,higher
comida,food
morir,To die
conozco,I know
dame,give to me
fácil,easy
vino,came
lista,list
haga,make
necesitas,you need
probablemente,probably
padres,parents
habitación,room
creer,believe
fueron,were
dime,tell me
